"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"AT4G30530",1.86140384464961e-24,0.350911345263309,0.317,0.08,2.29194655391706e-20,"0","AT4G30530"
"AT1G22400",2.67163940948737e-24,0.458348368429971,0.263,0.052,3.2895896049018e-20,"0","AT1G22400"
"AT1G02400",3.95597964592519e-24,0.337759362780662,0.283,0.063,4.87099773802768e-20,"0","AT1G02400"
"AT3G01650",3.04529479909472e-23,0.364457877101257,0.294,0.073,3.74967148612533e-19,"0","AT3G01650"
"AT5G04340",3.14232912038286e-23,0.349826903302318,0.276,0.062,3.86914984592742e-19,"0","AT5G04340"
"AT1G76680",1.18598139953758e-22,0.559439536331171,0.969,0.755,1.46029889725062e-18,"0","AT1G76680"
"AT5G11740",9.80235285962277e-22,0.535828274313018,0.474,0.211,1.20696370760535e-17,"0","AT5G11740"
"AT5G42380",1.32597115051833e-21,0.505926212802813,0.369,0.127,1.63266827763322e-17,"0","AT5G42380"
"AT2G18700",5.73586449717678e-21,0.42747594840797,0.416,0.164,7.06256995537377e-17,"0","AT2G18700"
"AT2G47730",1.19301060611509e-20,0.480813652910169,0.99,0.958,1.46895395930951e-16,"0","AT2G47730"
"AT2G15480",9.27799918944655e-20,0.368927543972731,0.321,0.099,1.14240004019655e-15,"0","AT2G15480"
"AT2G32190",9.97477555795859e-20,0.501271877742617,0.689,0.406,1.22819411445144e-15,"0","AT2G32190"
"AT4G02380",1.11684906051725e-19,0.494225752071586,0.382,0.144,1.37517624821489e-15,"0","AT4G02380"
"AT1G15430",1.33452369699767e-19,0.348199899030903,0.314,0.099,1.64319902811323e-15,"0","AT1G15430"
"AT3G02470",1.87240167209056e-19,0.643061850951213,0.659,0.44,2.30548817884511e-15,"0","AT3G02470"
"AT5G54170",1.08733392918001e-18,0.373841064838648,0.403,0.163,1.33883426699935e-14,"0","AT5G54170"
"AT2G43020",1.34517197976923e-18,0.390360036051412,0.358,0.133,1.65631025868986e-14,"0","AT2G43020"
"AT5G03630",1.50218228634104e-18,0.400128011336711,0.546,0.272,1.84963704917172e-14,"0","AT5G03630"
"AT3G25760",2.05512917934695e-18,0.481592055485346,0.413,0.17,2.5304805585299e-14,"0","AT3G25760"
